"N° d'inventaire","Libellé 1 (Ph.)","Libellé 2 (Ph.)","Date créat. (Ph.)","Date inventaire","Date ctrl inventaire","Code barre","Etab. (Ph.)","Site (Ph.)","Niveau (Ph.)","Sect. ana. (Ph.)","Date d'acquisition","Montant H.T.","Marque","Fournisseur","Compte (Ph.)","Rapproché","Valide (Ph.)","Sortie (Ph.)","Code budget","Demande engagement","N° de commande",""
"200012148468","SPECTROPHOTOMETRE NANAOTROP","225-ACH*9001057 P.AUTOUR","7/1/2009","","","","20200","","","290026","","","","","215410","Oui","Non","Non","","","",""
"200012148504","SPECTROPHOTOMETRE POWERWAVE","280-ACH/9003738/3747 FISHER ","9/1/2009","","","","20800","","","290065","","","","","215410","Oui","Non","Non","","","",""
"200012148748","SPECTROPHOTOMETRE HELIOS ZETA","265-ACH*0000371/362 FISHER","3/24/2010","","","","20600","","","290126","","","","","215410","Oui","Non","Non","","","",""
"200012149327","SPECTROMETRE MPA + OPTIONS","242-ACH*1000013/14/26 BRUKER OPTICS","1/1/2011","","","","20400","","","210716","","","","","215410","Oui","Non","Non","","","",""
"200012149727","SPECTROPHOTOMETRE NANOTROP","225-ACH*1002116 P.AUTOUR","10/1/2011","","","","20200","","","290227","","","","","215410","Oui","Non","Non","","","",""
"200012150403","SPECTRO VISIBLE 7310 + PASSEUR AUTO","020-ACH*3001278/2999 FISHER","1/1/2013","","","","20800","","","210710","","","","","215410","Oui","Non","Non","","","",""
"200012151165","SPECTROMETRE FOSS NIRSYSTEM 5000","020-ACH*5004860 MIXSCIENCE","3/24/2015","","","","12204","","","210710","","","","","215410","Oui","Non","Non","","","",""
"200012151668","SPECTROPHOMETRE ULTROSPEC 10","020-ACH*6008860 D.DUTSCHER","5/18/2016","","","","30100","","","290443","","","","","215410","Oui","Non","Non","","","",""
"200012151684","SPECTROMETRE FTIR INFRA ROUGE"," AGILENT","1/18/2016","","","","20800","","","210710","1/18/2016","41,350.91",""," AGILENT","215410","Oui","Non","Non","9000019530","E TILLARD","RU11524298",""
"200012151825","SPECTROPHOTOMETRE","020-ACH*6021185 OZYME","12/2/2016","","","","12204","BAILLARGUET","","214662","","","","","215410","Oui","Non","Non","","","",""
